Country,YearQuarter,GDP,GDP Growth,GDP Growth YoY,Year,Quarter,Last_Quarter_GDP,Last_Year_Same_Quarter_GDP,Base_Key
Finland,2014Q1,"70,355",-0.80%,-0.10%,2014,Q1,70922.37903,70425.42543,Finland_2014_Q1
Finland,2014Q2,"70,741",0.20%,-0.40%,2014,Q2,70599.8004,71025.1004,Finland_2014_Q2
Finland,2014Q3,"68,858",0.40%,-0.40%,2014,Q3,68583.66534,69134.53815,Finland_2014_Q3
Finland,2014Q4,"64,976",-0.20%,-0.50%,2014,Q4,65106.21242,65302.51256,Finland_2014_Q4
Finland,2015Q1,"58,615",-0.80%,-0.50%,2015,Q1,59087.70161,58909.54774,Finland_2015_Q1
Finland,2015Q2,"58,509",1.50%,0.90%,2015,Q2,57644.33498,57987.11596,Finland_2015_Q2
Finland,2015Q3,"58,955",0%,0.50%,2015,Q3,58955,58661.69154,Finland_2015_Q3
Finland,2015Q4,"58,454",0.60%,1.30%,2015,Q4,58105.36779,57703.84995,Finland_2015_Q4
Finland,2016Q1,"59,391",1.20%,3.30%,2016,Q1,58686.75889,57493.70765,Finland_2016_Q1
Finland,2016Q2,"60,970",0.20%,2.00%,2016,Q2,60848.30339,59774.5098,Finland_2016_Q2
Finland,2016Q3,"61,099",1.10%,3.10%,2016,Q3,60434.22354,59261.88167,Finland_2016_Q3
Finland,2016Q4,"59,243",0.30%,2.90%,2016,Q4,59065.80259,57573.37221,Finland_2016_Q4
Finland,2017Q1,"59,291",1.00%,2.60%,2017,Q1,58703.9604,57788.49903,Finland_2017_Q1
Finland,2017Q2,"62,135",1.30%,3.70%,2017,Q2,61337.61106,59918.03279,Finland_2017_Q2
Finland,2017Q3,"66,650",0.40%,3.00%,2017,Q3,66384.46215,64708.73786,Finland_2017_Q3
Finland,2017Q4,"67,696",0.70%,3.40%,2017,Q4,67225.42205,65470.01934,Finland_2017_Q4
Finland,2018Q1,"71,107",0.20%,2.60%,2018,Q1,70965.06986,69305.06823,Finland_2018_Q1
Finland,2018Q2,"69,246",0%,1.30%,2018,Q2,69246,68357.35439,Finland_2018_Q2
Finland,2018Q3,"68,044",-0.20%,0.70%,2018,Q3,68180.36072,67571.00298,Finland_2018_Q3
Finland,2018Q4,"67,332",0.10%,0.10%,2018,Q4,67264.73526,67264.73526,Finland_2018_Q4
Finland,2019Q1,"67,337",0.70%,0.60%,2019,Q1,66868.91758,66935.38767,Finland_2019_Q1
Finland,2019Q2,"67,465",0.80%,1.50%,2019,Q2,66929.56349,66467.9803,Finland_2019_Q2
Finland,2019Q3,"66,901",-0.10%,1.60%,2019,Q3,66967.96797,65847.44094,Finland_2019_Q3
Finland,2019Q4,"66,825",-0.30%,1.20%,2019,Q4,67026.07823,66032.6087,Finland_2019_Q4
Norway,2014Q1,"128,895",0.50%,2.10%,2014,Q1,128253.7313,126243.8786,Norway_2014_Q1
Norway,2014Q2,"132,259",0.70%,2.10%,2014,Q2,131339.6226,129538.6876,Norway_2014_Q2
Norway,2014Q3,"125,965",0.40%,1.50%,2014,Q3,125463.1474,124103.4483,Norway_2014_Q3
Norway,2014Q4,"114,804",1.20%,2.90%,2014,Q4,113442.6877,111568.5131,Norway_2014_Q4
Norway,2015Q1,"101,764",-0.30%,2.10%,2015,Q1,102070.2106,99670.91087,Norway_2015_Q1
Norway,2015Q2,"101,476",0.50%,1.90%,2015,Q2,100971.1443,99583.90579,Norway_2015_Q2
Norway,2015Q3,"95,958",1.20%,2.70%,2015,Q3,94820.1581,93435.2483,Norway_2015_Q3
Norway,2015Q4,"90,689",-0.90%,0.60%,2015,Q4,91512.61352,90148.11133,Norway_2015_Q4
Norway,2016Q1,"88,621",0.10%,0.90%,2016,Q1,88532.46753,87830.52527,Norway_2016_Q1
Norway,2016Q2,"93,338",0%,0.40%,2016,Q2,93338,92966.13546,Norway_2016_Q2
Norway,2016Q3,"74,598",-0.30%,-1.10%,2016,Q3,74822.4674,75427.70475,Norway_2016_Q3
Norway,2016Q4,"81,412",1.30%,1.10%,2016,Q4,80367.22606,80526.21167,Norway_2016_Q4
Norway,2017Q1,"85,278",1.00%,2.00%,2017,Q1,84433.66337,83605.88235,Norway_2017_Q1
Norway,2017Q2,"78,627",1.00%,3.00%,2017,Q2,77848.51485,76336.8932,Norway_2017_Q2
Norway,2017Q3,"74,204",0.70%,4.00%,2017,Q3,73688.18272,71350,Norway_2017_Q3
Norway,2017Q4,"73,785",-0.60%,2.10%,2017,Q4,74230.38229,72267.38492,Norway_2017_Q4
Norway,2018Q1,"72,071",0.80%,1.90%,2018,Q1,71499.00794,70727.18351,Norway_2018_Q1
Norway,2018Q2,"77,342",0.30%,1.20%,2018,Q2,77110.668,76424.90119,Norway_2018_Q2
Norway,2018Q3,"81,361",0.60%,1.10%,2018,Q3,80875.74553,80475.76657,Norway_2018_Q3
Norway,2018Q4,"81,931",0%,1.80%,2018,Q4,81931,80482.31827,Norway_2018_Q4
Norway,2019Q1,"80,833",-0.30%,0.70%,2019,Q1,81076.22869,80271.10228,Norway_2019_Q1
Norway,2019Q2,"81,050",0.20%,0.60%,2019,Q2,80888.22355,80566.6004,Norway_2019_Q2
Norway,2019Q3,"79,949",0.20%,0.20%,2019,Q3,79789.42116,79789.42116,Norway_2019_Q3
Norway,2019Q4,"80,000",1.40%,1.50%,2019,Q4,78895.46351,78817.73399,Norway_2019_Q4
Sweden,2014Q1,"149,240",0.80%,1.90%,2014,Q1,148055.5556,146457.3111,Sweden_2014_Q1
Sweden,2014Q2,"147,863",0.80%,2.80%,2014,Q2,146689.4841,143835.6031,Sweden_2014_Q2
Sweden,2014Q3,"141,663",0.70%,3.10%,2014,Q3,140678.2522,137403.4918,Sweden_2014_Q3
Sweden,2014Q4,"134,831",0.80%,3.20%,2014,Q4,133760.9127,130650.1938,Sweden_2014_Q4
Sweden,2015Q1,"122,363",1.40%,3.80%,2015,Q1,120673.57,117883.4297,Sweden_2015_Q1
Sweden,2015Q2,"122,579",1.00%,4.00%,2015,Q2,121365.3465,117864.4231,Sweden_2015_Q2
Sweden,2015Q3,"122,802",1.40%,4.60%,2015,Q3,121106.5089,117401.5296,Sweden_2015_Q3
Sweden,2015Q4,"125,238",0.80%,4.60%,2015,Q4,124244.0476,119730.4015,Sweden_2015_Q4
Sweden,2016Q1,"126,347",-0.10%,3.10%,2016,Q1,126473.4735,122548.0116,Sweden_2016_Q1
Sweden,2016Q2,"130,818",0.10%,2.10%,2016,Q2,130687.3127,128127.3262,Sweden_2016_Q2
Sweden,2016Q3,"103,133",0.30%,1.00%,2016,Q3,102824.5264,102111.8812,Sweden_2016_Q3
Sweden,2016Q4,"106,147",0.90%,1.20%,2016,Q4,105200.1982,104888.3399,Sweden_2016_Q4
Sweden,2017Q1,"111,103",0.40%,1.70%,2017,Q1,110660.3586,109245.821,Sweden_2017_Q1
Sweden,2017Q2,"108,289",1.30%,2.90%,2017,Q2,106899.309,105237.1234,Sweden_2017_Q2
Sweden,2017Q3,"103,176",1.00%,3.60%,2017,Q3,102154.4554,99590.73359,Sweden_2017_Q3
Sweden,2017Q4,"101,726",0.20%,2.90%,2017,Q4,101522.9541,98859.08649,Sweden_2017_Q4
Sweden,2018Q1,"96,838",0.20%,2.70%,2018,Q1,96644.71058,94292.11295,Sweden_2018_Q1
Sweden,2018Q2,"97,797",1.10%,2.50%,2018,Q2,96732.93769,95411.70732,Sweden_2018_Q2
Sweden,2018Q3,"98,903",-0.70%,0.80%,2018,Q3,99600.20141,98118.05556,Sweden_2018_Q3
Sweden,2018Q4,"103,651",1.50%,2.10%,2018,Q4,102119.2118,101519.0989,Sweden_2018_Q4
Sweden,2019Q1,"104,763",0.50%,2.40%,2019,Q1,104241.791,102307.6172,Sweden_2019_Q1
Sweden,2019Q2,"104,516",0.50%,1.80%,2019,Q2,103996.0199,102667.9764,Sweden_2019_Q2
Sweden,2019Q3,"106,183",0.10%,2.60%,2019,Q3,106076.9231,103492.2027,Sweden_2019_Q3
Sweden,2019Q4,"107,792",0.30%,1.40%,2019,Q4,107469.5912,106303.7475,Sweden_2019_Q4
